Product Name,Company,Export Country,Date,Units Sold,unit_price,Profit per unit,Export Value,Destination Port,Transportation Mode
Rubber,Farmgate Nigeria Limited,Austria,11/16/2023,721,31443.05,5863.92,22670439.05,Lagos,Sea
Palm Oil,Prime Agro Exports Nigeria Limited,Germany,1/8/2021,881,23151.97,5868.73,20396885.57,Lagos,Sea
Cassava,Farmgate Nigeria Limited,Germany,10/14/2020,702,18536.45,5105.01,13012587.9,Calabar,Sea
Rubber,Nigerian Export Promotion Council (NEPC),Belgium,12/31/2022,191,21981.31,7781.54,4198430.21,Warri,Sea
Sesame,Nigeria Agro Export Company,France,12/19/2022,373,13415.94,9590.95,5004145.62,Lagos,Sea
Palm Oil,Greenfield Agro Exporters Nigeria Limited,Netherlands,7/13/2021,593,44749.95,4498.48,26536720.35,Lagos,Sea
Rubber,Solid Agro Nigeria Limited,Denmark,2/22/2022,142,21985.66,5963.85,3121963.72,Lagos,Sea
Sesame,Nigerian Export Promotion Council (NEPC),Sweden,3/22/2021,990,16931.73,3464.19,16762412.7,Calabar,Sea
Rubber,Agro Export Nigeria Ltd,Denmark,8/1/2022,606,17896.94,5326.45,10845545.64,Lagos,Sea
Cashew,Golden Farms Nigeria Limited,Netherlands,11/26/2020,900,42463.53,5468.54,38217177,Lagos,Sea
Rubber,Nigerian Export Promotion Council (NEPC),Switzerland,12/10/2022,192,23536.16,2812.83,4518942.72,Lagos,Sea
Ginger,Agriplus Nigeria Limited,Italy,6/21/2021,566,15516.87,3043.78,8782548.42,Warri,Sea
Cashew,Agriplus Nigeria Limited,Denmark,8/26/2022,220,37731.49,5466.27,8300927.8,Warri,Sea
Cassava,Agro Allied Exporters Nigeria Limited,Spain,10/14/2020,963,29641.1,7617.73,28544379.3,Calabar,Sea
Plantain,Greenfield Agro Exporters Nigeria Limited,Italy,7/10/2023,700,24041.35,3922.05,16828945,Lagos,Sea
Plantain,Golden Farms Nigeria Limited,Sweden,6/19/2021,341,20126.79,5442.89,6863235.39,Calabar,Sea
Rubber,Solid Agro Nigeria Limited,Austria,6/17/2022,250,27849.16,4734.07,6962290,Lagos,Sea
Cassava,Agro Export Nigeria Ltd,Denmark,3/14/2021,641,22151.23,9884.51,14198938.43,Port Harcourt,Sea
Rubber,Farmgate Nigeria Limited,Sweden,6/27/2021,393,23647.19,5405.19,9293345.67,Lagos,Sea
Plantain,Nigeria Agro Export Company,Netherlands,12/23/2023,592,32644.13,7497.09,19325324.96,Lagos,Sea
Palm Oil,Agro Allied Exporters Nigeria Limited,Belgium,8/24/2022,194,24659.84,5943.96,4784008.96,Port Harcourt,Sea
Cocoa,Agriplus Nigeria Limited,Sweden,6/2/2022,438,43305.68,9195.72,18967887.84,Lagos,Sea
Sesame,Agro Export Nigeria Ltd,France,7/14/2020,347,11714.81,2929.83,4065039.07,Lagos,Sea
Cashew,Golden Farms Nigeria Limited,Sweden,10/13/2022,238,31839.65,8488.97,7577836.7,Lagos,Sea
Rubber,Greenfield Agro Exporters Nigeria Limited,Netherlands,9/24/2023,246,39938.99,9327.05,9824991.54,Lagos,Sea
Cocoa,Solid Agro Nigeria Limited,Sweden,6/9/2022,930,40089.03,8651.12,37282797.9,Port Harcourt,Sea
Palm Oil,Agro Allied Exporters Nigeria Limited,Sweden,7/3/2023,218,34380.18,5264.59,7494879.24,Lagos,Sea
Cocoa,Agro Allied Exporters Nigeria Limited,Spain,2/23/2023,981,39948.71,5611.36,39189684.51,Warri,Sea
Cocoa,Solid Agro Nigeria Limited,Germany,10/7/2020,449,22573.52,5849.58,10135510.48,Lagos,Sea
Sesame,Agro Export Nigeria Ltd,Austria,11/17/2020,256,34710.58,6530.19,8885908.48,Lagos,Sea
Cashew,Nigeria Agro Export Company,Belgium,10/25/2021,309,36171.2,5485.99,11176900.8,Lagos,Sea
Plantain,Greenfield Agro Exporters Nigeria Limited,Italy,4/11/2022,316,33608.72,8153.51,10620355.52,Port Harcourt,Sea
Ginger,Farmgate Nigeria Limited,Netherlands,12/30/2022,519,46462.39,7563.66,24113980.41,Calabar,Sea
